segmento,clientes,recencia_avg,frecuencia_avg,monetario_avg,monetario_total,pct_clientes,pct_ingreso
Champions,371,16.2,3.4,189.0,70132.5,22.5,36.6
Leales,358,39.3,2.5,134.6,48172.2,21.7,25.2
Hibernando,231,124.3,1.5,81.7,18877.1,14.0,9.9
En Riesgo,109,88.3,2.8,154.7,16858.8,6.6,8.8
Clientes Recientes,163,18.3,1.1,62.8,10231.5,9.9,5.3
Prometedores,106,54.5,1.2,80.3,8516.4,6.4,4.4
Por Despertar,134,91.6,1.1,62.8,8418.6,8.1,4.4
Perdidos,139,147.3,1.0,44.5,6183.9,8.4,3.2
No Perder,37,133.6,2.5,110.4,4085.4,2.2,2.1
